,TCKR,revenue_growth
1294,CNEY,0.768
1295,COVA,
1296,CPUH,
1297,EVAX,
1298,GSQD,
1299,HHLA,
1300,IMCR,4.582
1301,JOFF,
1302,LHDX,1.102
1303,PHVS,
1304,QFTA,
1305,RMGC,
1306,SDAC,
1307,TBCP,
1308,TERN,
1309,VOR,
1310,ACII,
1311,ASAX,
1312,ITQ,
1313,LABP,
1314,SANA,
1315,SNSE,
1316,GHAC,
1317,KRNL,
1318,ONTF,-0.036
1319,PRPC,
1320,TIXT,0.106
1321,TMAC,
1322,AAC,
1323,JWSM,
1324,MDH,
1325,NRAC,
1326,BLUA,
1327,CLRM,
1328,EQHA,
1329,HMPT,-0.23
1330,MIT,
1331,NLSP,
1332,TRIN,0.795
1333,ZWRK,
1334,AGFY,0.635
1335,IGNY,
1336,TLGA,
1337,VINP,-0.167
1338,XM,0.39
1339,ZIM,0.439
1340,CLIM,
1341,CSTA,
1342,FSSI,
1343,SHLS,0.231
1344,TIRX,-0.422
1345,BIOT,
1346,DHHC,
1347,DNZ,
1348,EZGO,-0.343
1349,HCII,
1350,LMAO,
1351,NSTB,
1352,SSAA,
1353,HUDI,0.231
1354,JCIC,
1355,LMACA,
1356,MNTK,1.143
1357,NAAC,
1358,OEPW,
1359,PAX,-0.533
1360,PV,
1361,RLX,-0.121
1362,SHAC,
1363,DFH,1.164
1364,MYTE,0.077
1365,FOXW,
1366,OSTR,
1367,TZPS,
1368,ADER,
1369,AEAC,
1370,CLAS,
1371,DRVN,0.392
1372,EAC,
1373,GNAC,
1374,HCIC,
1375,OCAX,
1376,PLTK,0.001
1377,MON,
1378,POSH,0.092
1379,SLCR,
1380,WOOF,0.032
1381,AFRM,0.342
1382,DLCA,
1383,FCAX,
1384,FINM,
1385,HLAH,
1386,MSGM,-0.103
1387,PNTM,
1388,ADEX,
1389,GPAC,
1390,KUKE,-0.354
1391,QLI,0.072
1392,SWET,
1393,LJAQ,
1394,CGEM,
1395,EPHY,
1396,EPWR,
1397,GRCL,
1398,KLAQ,
1399,LHC,
1400,PACX,
1401,PAQC,
1402,POW,
1403,PRSR,
1404,SVFA,
1405,TMKR,
1406,AGCB,
1407,BLTS,
1408,INKA,
1409,OMEG,
1410,VCKA,
1411,VTIQ,
1412,AKIC,
1413,KAIR,
1414,BENE,
1415,CRU,
1416,FVT,
1417,MBLY,
1418,PRME,
1419,SVII,
1420,AQU,
1421,LASE,0.48
1422,AMV,
1423,GLST,
1424,NXL,13.211
1425,CRBG,0.293
1426,THRD,
1427,WLDS,-0.738
1428,YOSH,0.402
1429,BIAF,
1430,SHPH,
1431,HPCO,
1432,JFBR,0.227
1433,JZ,-0.169
1434,ONFO,-0.238
1435,PXMD,
1436,MOB,-0.397
1437,STBX,23.529
1438,GCT,0.11
1439,LUCY,0.612
1440,CHG,
1441,FRZA,
1442,REBN,0.605
1443,HMAC,
1444,TGL,59.568
1445,EMCG,
1446,MEGL,0.208
1447,PTWO,
1448,MOBV,
1449,BRSH,
1450,MGAM,
1451,MAIA,
1452,VRAX,
1453,HKD,0.469
1454,ILAG,0.189
1455,IE,-0.847
1456,SKGR,
1457,GSUN,-0.36
1458,FLFV,
1459,HSCS,-0.572
1460,LYT,
1461,PEV,1.296
1462,SVRE,0.9
1463,TOP,-0.44
1464,BNRG,4.263
1465,BGXX,
1466,OKYO,
1467,VEDU,-0.648
1468,ASNS,0.018
1469,PFHC,2.374
1470,PNAC,
1471,HNVR,-0.046
1472,GBBK,
1473,IVCA,
1474,BLCO,0.007
1475,PEPG,
1476,RENE,
